SMILES (prior)	SMILES (after) round trip:
1263	C=CC(=O)c1c(OC(=O)CO)cc(C(=O)O)c(O)c1NC(=O)c1cc(O)ccc1OCCO	C=CC(=O)c1c(OC(=O)CO)cc(C(=O)O)c(O)c1NC(=O)c1cc(O)ccc1OCCO
1264	CCCCC(=O)OC(=O)c1[nH]c(O)nc1Cc1ccc(OC(=O)CCCC(=O)CC(=O)O)c(O)c1	CCCCC(=O)OC(=O)c1[nH]c(O)nc1Cc1ccc(OC(=O)CCCC(=O)CC(=O)O)c(O)c1
1268	C=CC(=O)N(c1ccccc1S(=O)(=O)NC=O)S(=O)(=O)O	C=CC(=O)N(c1ccccc1S(=O)(=O)NC=O)S(=O)(=O)O
1270	COC(=Cc1cncc(C(=O)O)c1)c1cc(O)ncc1C(=O)c1c(C(=O)O)cc(O)c(O)c1O	COC(=Cc1cncc(C(=O)O)c1)c1cc(O)ncc1C(=O)c1c(C(=O)O)cc(O)c(O)c1O
1271	O=C(O)c1ccccc1OCc1c(O)c(O)nc2c(O)cc3c(O)cccc3c12	O=C(O)c1ccccc1OCc1c(O)c(O)nc2c(O)cc3c(O)cccc3c12
1272	CCc1ccc(O)c2c(C)c3cc(C(=O)O)cc(CC4=CCC=CC4=O)c3cc12	CCc1ccc(O)c2c(C)c3cc(C(=O)O)cc(CC4=CCC=CC4=O)c3cc12
1273	CCc1cccc(OCCCC(=O)OC(=O)c2ccccc2OC)c1CC	CCc1cccc(OCCCC(=O)OC(=O)c2ccccc2OC)c1CC
1274	O=C(O)c1ccc2c(C(=O)O)c(Cl)cc(C(=O)O)c2c1O	O=C(O)c1ccc2c(C(=O)O)c(Cl)cc(C(=O)O)c2c1O
1275	C=C(Oc1cc(-c2cc[nH]c2)cc(-c2cccc(O)c2)c1COC(=O)C(C)(C)C)C(=O)O	C=C(Oc1cc(-c2cc[nH]c2)cc(-c2cccc(O)c2)c1COC(=O)C(C)(C)C)C(=O)O
1276	COC(=O)NCc1c(F)cc(C(=O)O)c2c3c([nH]c12)CC=CC3	COC(=O)NCc1c(F)cc(C(=O)O)c2c3c([nH]c12)CC=CC3
1281	O=C(O)c1c(F)ccc2cc(COS(=O)(=O)O)c3c(-c4ccc[nH]4)coc3c12	O=C(O)c1c(F)ccc2cc(COS(=O)(=O)O)c3c(-c4ccc[nH]4)coc3c12
1282	COC(=O)c1cc2cc3c(c(O)c2cc1N)CC(C)=CC3	COC(=O)c1cc2cc3c(c(O)c2cc1N)CC(C)=CC3
1283	CCC(=O)Nc1c(O)cccc1-c1cncc2c1CC=CC2	CCC(=O)Nc1c(O)cccc1-c1cncc2c1CC=CC2
1286	Cc1c2c(cc3cc(-n4c(O)ccc4CCC(=O)O)c4c(C(=O)O)cccc4c13)CC(F)=CC2	Cc1c2c(cc3cc(-n4c(O)ccc4CCC(=O)O)c4c(C(=O)O)cccc4c13)CC(F)=CC2
1289	CCOc1c(Cl)cc(S(N)(=O)=O)c2ccccc12	CCOc1c(Cl)cc(S(N)(=O)=O)c2ccccc12
1292	CCc1c(O)ccc(-n2c(C)ccc2OC)c1C1CCCCC1	CCc1c(O)ccc(-n2c(C)ccc2OC)c1C1CCCCC1
1293	O=C(c1ccccc1)N(C(=O)c1ccccc1)C(=O)c1cccs1	O=C(c1ccccc1)N(C(=O)c1ccccc1)C(=O)c1cccs1
1294	CCOc1ccc2[nH]c(C)c(C(C)(C)c3ccccc3)c2c1C(=O)NC(=O)OCCC(=O)O	CCOc1ccc2[nH]c(C)c(C(C)(C)c3ccccc3)c2c1C(=O)NC(=O)OCCC(=O)O
1296	CCC(C)(C)c1cc(Cc2c(O)ncc(F)c2C)ccc1NC(=O)c1ccccc1	CCC(C)(C)c1cc(Cc2c(O)ncc(F)c2C)ccc1NC(=O)c1ccccc1
1297	COc1ccc(C(=O)OC(=O)c2cc(O)c3cc(CCC4=CC(=O)C=CC4=O)oc3c2)cc1O	COc1ccc(C(=O)OC(=O)c2cc(O)c3cc(CCC4=CC(=O)C=CC4=O)oc3c2)cc1O
1302	O=C(O)c1cc(CO)c2[nH]cc(-c3cc4cccc(O)c4nc3O)c2c1	O=C(O)c1cc(CO)c2[nH]cc(-c3cc4cccc(O)c4nc3O)c2c1
1304	CCCCc1cc(C(=O)NC(=O)NCC)c2ccnc(O)c2c1	CCCCc1cc(C(=O)NC(=O)NCC)c2ccnc(O)c2c1
1305	CCc1ccc(Oc2cc(O)c3c(O)cnc(-c4cc(C(=O)O)ccc4O)c3c2)c(O)n1	CCc1ccc(Oc2cc(O)c3c(O)cnc(-c4cc(C(=O)O)ccc4O)c3c2)c(O)n1
1308	CC(=O)OC(=O)Cc1cccc(CC(=O)O)c1C(C)(C)C1=CCc2[nH]c(O)cc2C1	CC(=O)OC(=O)Cc1cccc(CC(=O)O)c1C(C)(C)C1=CCc2[nH]c(O)cc2C1
1311	O=C(NCc1ccc(C(=O)O)cc1)Nc1c(O)cc(Cl)cc1C(=O)O	O=C(NCc1ccc(C(=O)O)cc1)Nc1c(O)cc(Cl)cc1C(=O)O
1315	C=CNc1cccc(O)c1OCc1ccc(C2=CC(=O)C=CC2=O)cc1	C=CNc1cccc(O)c1OCc1ccc(C2=CC(=O)C=CC2=O)cc1
1316	Cc1ccccc1C(=O)OC(=O)c1nc[nH]c1N	Cc1ccccc1C(=O)OC(=O)c1nc[nH]c1N
1317	O=C(O)c1cc(O)c(-c2cc3cccc(Cl)c3o2)c(C(=O)c2c(CO)c[nH]c2O)c1	O=C(O)c1cc(O)c(-c2cc3cccc(Cl)c3o2)c(C(=O)c2c(CO)c[nH]c2O)c1
1318	CC(O)=CC(=O)c1cc(C)ccc1Cc1cc(F)ccc1-c1ccc2ccoc2c1	CC(O)=CC(=O)c1cc(C)ccc1Cc1cc(F)ccc1-c1ccc2ccoc2c1
1320	COc1c(C(=O)O)cc2c(O)cc(O)cc2c1Cl	COc1c(C(=O)O)cc2c(O)cc(O)cc2c1Cl
1321	O=C(O)C1=C2Cc3cccc(C(=O)O)c3CC2=CC1	O=C(O)C1=C2Cc3cccc(C(=O)O)c3CC2=CC1
1322	CCCS(=O)(=O)N(C1=CC(=O)C(OC)=C(C(=O)O)C1=O)c1ccc(O)cc1	CCCS(=O)(=O)N(C1=CC(=O)C(OC)=C(C(=O)O)C1=O)c1ccc(O)cc1
1324	O=C(CCc1cc(Cl)c(F)cc1C(=O)O)CC(=O)c1ccccc1	O=C(CCc1cc(Cl)c(F)cc1C(=O)O)CC(=O)c1ccccc1
1325	CCCCN(C)c1c(CC(=O)O)c(O)cc2oc3c4cccc(CCC(=O)O)c4ccc3c12	CCCCN(C)c1c(CC(=O)O)c(O)cc2oc3c4cccc(CCC(=O)O)c4ccc3c12
1326	CCc1cccc2c(-c3c(OC)cc(CCC(=O)O)n3-c3cccc(Cl)c3O)cccc12	CCc1cccc2c(-c3c(OC)cc(CCC(=O)O)n3-c3cccc(Cl)c3O)cccc12
1327	COCc1c(C(=O)NC(=O)NC(=O)OC(C)=O)c(C)cc2ccccc12	COCc1c(C(=O)NC(=O)NC(=O)OC(C)=O)c(C)cc2ccccc12
1331	COc1ccc(O)c(-c2c(Cl)cc3c(C)ccnc3c2OC)c1	COc1ccc(O)c(-c2c(Cl)cc3c(C)ccnc3c2OC)c1
1334	CCCCCCNC(=O)OC(=O)Nc1ccccc1O	CCCCCCNC(=O)OC(=O)Nc1ccccc1O
1337	CCC(CC)CCC(=O)NC(=O)OC(=O)CCOc1cc(COC)cc2ccccc12	CCC(CC)CCC(=O)NC(=O)OC(=O)CCOc1cc(COC)cc2ccccc12
1339	CCCc1c(C(=O)O)cc(Br)c2c(CC)ccc(O)c12	CCCc1c(C(=O)O)cc(Br)c2c(CC)ccc(O)c12
1342	Cc1cc(Cc2cc(O)cc(-c3ccc(C(=O)CO)cc3)c2O)cc(O)n1	Cc1cc(Cc2cc(O)cc(-c3ccc(C(=O)CO)cc3)c2O)cc(O)n1
1346	C=CC(C(=O)O)=C(CCc1cc2cc(O)cc(O)c2cc1O)OC	C=CC(C(=O)O)=C(CCc1cc2cc(O)cc(O)c2cc1O)OC
1348	Cc1cccc(O)c1-c1ccc2cc(C(=O)O)cc(N)c2c1	Cc1cccc(O)c1-c1ccc2cc(C(=O)O)cc(N)c2c1
1351	O=C(O)CC(=O)OCc1ccccc1-c1c2c(c3ccccc3c1O)CC=CC2	O=C(O)CC(=O)OCc1ccccc1-c1c2c(c3ccccc3c1O)CC=CC2
1354	Cc1cc2c(-c3[nH]c4ccc5ccc(C(=O)O)cc5c4c3Cl)ccc(CC(=O)O)c2cc1Cl	Cc1cc2c(-c3[nH]c4ccc5ccc(C(=O)O)cc5c4c3Cl)ccc(CC(=O)O)c2cc1Cl
1355	O=C(O)CCCOc1ccc(O)c2cc(-c3ccoc3)c(C(=O)O)cc12	O=C(O)CCCOc1ccc(O)c2cc(-c3ccoc3)c(C(=O)O)cc12
1361	CC(C)c1c(C=O)cnc(O)c1Nc1[nH]c(N)nc1-c1cc(NC=O)cc(N)n1	CC(C)c1c(C=O)cnc(O)c1Nc1[nH]c(N)nc1-c1cc(NC=O)cc(N)n1
1362	COc1cccc2c(S(=O)(=O)CC(=O)NC(=O)c3cc(F)ccc3O)cccc12	COc1cccc2c(S(=O)(=O)CC(=O)NC(=O)c3cc(F)ccc3O)cccc12
1363	COC(=CC(=O)O)Cc1ccc(C(=O)O)c(CCC(=O)NCC(=O)O)c1	COC(=CC(=O)O)Cc1ccc(C(=O)O)c(CCC(=O)NCC(=O)O)c1
1367	CCCCOC(=O)c1cc2cc3c(CC)c(O)c(Cl)cc3c(OC)c2[nH]1	CCCCOC(=O)c1cc2cc3c(CC)c(O)c(Cl)cc3c(OC)c2[nH]1
1369	COc1c(C(=O)O)c(O)c2cc(C)ccc2c1O	COc1c(C(=O)O)c(O)c2cc(C)ccc2c1O
1371	COc1c(C)c(Cc2ccc3[nH]c(C(C)C)cc3c2)cc2cc(O)cc(C(=O)O)c12	COc1c(C)c(Cc2ccc3[nH]c(C(C)C)cc3c2)cc2cc(O)cc(C(=O)O)c12
1373	CCOc1ccccc1C(=O)CC(=O)NC(=O)NC(=O)c1c(O)c(F)c(O)c(C(=O)O)c1O	CCOc1ccccc1C(=O)CC(=O)NC(=O)NC(=O)c1c(O)c(F)c(O)c(C(=O)O)c1O
1377	O=C(CC(=O)c1cccc(O)c1C(=O)CC(=O)NS(=O)(=O)O)Nc1c[nH]c(O)c1C(=O)O	O=C(CC(=O)c1cccc(O)c1C(=O)CC(=O)NS(=O)(=O)O)Nc1c[nH]c(O)c1C(=O)O
1381	CCCCOC(=O)Nc1ccc2ccc(C)cc2c1	CCCCOC(=O)Nc1ccc2ccc(C)cc2c1
1383	COc1cccc(C(C)(C)C)c1N(C(=O)O)c1cccc(C(=O)O)c1	COc1cccc(C(C)(C)C)c1N(C(=O)O)c1cccc(C(=O)O)c1
1385	Cc1cc2c(C(N)=O)cc(Cl)cc2c2c(C)ccc(N)c12	Cc1cc2c(C(N)=O)cc(Cl)cc2c2c(C)ccc(N)c12
1386	COC=C1CCC=C(c2cccc(C(=O)OC(=O)NCC(=O)NC(C)=O)c2)C1	COC=C1CCC=C(c2cccc(C(=O)OC(=O)NCC(=O)NC(C)=O)c2)C1
1387	COc1ccc(C(=O)NC(=O)Nc2ccc(-c3c[nH]c4ccccc34)c(Cl)c2O)cc1	COc1ccc(C(=O)NC(=O)Nc2ccc(-c3c[nH]c4ccccc34)c(Cl)c2O)cc1
1388	COc1ccc(C)c(-c2ccc(-c3ccc4c(c3C)C(=O)C(CC(=O)O)=CC4=O)cc2)c1	COc1ccc(C)c(-c2ccc(-c3ccc4c(c3C)C(=O)C(CC(=O)O)=CC4=O)cc2)c1
1389	CCc1cc(CCC(=O)O)c2c(ccc3ccc(C)cc32)c1CCOC	CCc1cc(CCC(=O)O)c2c(ccc3ccc(C)cc32)c1CCOC
1392	COc1c(Cl)ccc(-c2cc(O)cc(O)c2C(=O)O)c1N	COc1c(Cl)ccc(-c2cc(O)cc(O)c2C(=O)O)c1N
1393	COCC(=O)Oc1cccc(CO)c1-c1cc(OC)cc(OC)c1	COCC(=O)Oc1cccc(CO)c1-c1cc(OC)cc(OC)c1
1395	O=C(O)CCc1cc(C(=O)O)c(F)c(CCc2ccc(O)c3c(O)cc(Cl)cc23)c1O	O=C(O)CCc1cc(C(=O)O)c(F)c(CCc2ccc(O)c3c(O)cc(Cl)cc23)c1O
1396	O=Cc1cc(C(=O)O)ccc1-c1c2[nH]ccc2cc2ccc3sccc3c12	O=Cc1cc(C(=O)O)ccc1-c1c2[nH]ccc2cc2ccc3sccc3c12
1397	CCCC(C)=CC(=O)c1cccc2c(Cl)cccc12	CCCC(C)=CC(=O)c1cccc2c(Cl)cccc12
1400	N#Cc1c(OC(=O)CC(=O)O)cccc1C(=O)OC(=O)NCC(=O)c1cccc(O)c1	N#Cc1c(OC(=O)CC(=O)O)cccc1C(=O)OC(=O)NCC(=O)c1cccc(O)c1
1401	CCc1cc(CC(=O)O)c(NS(=O)(=O)c2ccc3[nH]ccc3c2)c(OCC(=O)O)c1	CCc1cc(CC(=O)O)c(NS(=O)(=O)c2ccc3[nH]ccc3c2)c(OCC(=O)O)c1
1402	Cc1c(O)nc(N)nc1N1Cc2c(C(=O)O)cc(O)c(Oc3ccccc3)c2C1	Cc1c(O)nc(N)nc1N1Cc2c(C(=O)O)cc(O)c(Oc3ccccc3)c2C1
1404	COc1cnc(O)c2ccc(O)c(-c3ccccc3)c12	COc1cnc(O)c2ccc(O)c(-c3ccccc3)c12
1406	O=C(O)CCCc1cc(O)c2c(O)ccc(F)c2c1O	O=C(O)CCCc1cc(O)c2c(O)ccc(F)c2c1O
1409	Cc1cccc(Oc2c(Cl)cc(C(=O)O)cc2C(=O)OC(=O)c2cccc(C(=O)O)c2)c1	Cc1cccc(Oc2c(Cl)cc(C(=O)O)cc2C(=O)OC(=O)c2cccc(C(=O)O)c2)c1
1410	O=C(O)NC(=O)CCC(=O)OCc1c[nH]c(-c2ccc3ccccc3c2)c1	O=C(O)NC(=O)CCC(=O)OCc1c[nH]c(-c2ccc3ccccc3c2)c1
1419	CCCCNc1nc(C(=O)O)c(-c2cccc(OC)c2O)o1	CCCCNc1nc(C(=O)O)c(-c2cccc(OC)c2O)o1
1425	CCOC(=O)c1ccc(NC(O)=Cc2ccccc2O)cc1OCC	CCOC(=O)c1ccc(NC(O)=Cc2ccccc2O)cc1OCC
1426	CCC(=C(S)CC(=O)O)c1ccc(O)c(S(=O)(=O)O)c1	CCC(=C(S)CC(=O)O)c1ccc(O)c(S(=O)(=O)O)c1
1428	O=C(O)c1ccc2c(c1)CC(c1ccc(C(=O)O)c(C(=O)O)c1O)=C(O)C2	O=C(O)c1ccc2c(c1)CC(c1ccc(C(=O)O)c(C(=O)O)c1O)=C(O)C2
1429	CCCc1cc(OC)c2oc3c(ccc4c3cc3c5c(c(C(=O)O)c(O)nc54)CC(C(=O)O)=C3)c2c1	CCCc1cc(OC)c2oc3c(ccc4c3cc3c5c(c(C(=O)O)c(O)nc54)CC(C(=O)O)=C3)c2c1
1430	Cc1cccc(Nc2c(NC(=O)CCC(=O)O)c(Cl)c(NC(=O)CCCC(=O)O)c(O)c2C(=O)O)c1	Cc1cccc(Nc2c(NC(=O)CCC(=O)O)c(Cl)c(NC(=O)CCCC(=O)O)c(O)c2C(=O)O)c1
1433	Cc1ccc(-c2ccccc2OP(=O)(O)O)c2cc(C(=O)O)cc(CC(=O)O)c12	Cc1ccc(-c2ccccc2OP(=O)(O)O)c2cc(C(=O)O)cc(CC(=O)O)c12
1438	CCc1cc(Oc2cccc(CC(=O)O)c2NC)c2ccccc2c1	CCc1cc(Oc2cccc(CC(=O)O)c2NC)c2ccccc2c1
1439	COC(c1cc(O)c2c(C(=O)O)c(O)cc(O)c2c1)=c1c(CC(=O)O)ccc(F)c1=CC(=O)O	COC(c1cc(O)c2c(C(=O)O)c(O)cc(O)c2c1)=c1c(CC(=O)O)ccc(F)c1=CC(=O)O
1445	CCCc1c(CC)c(C#N)cn1-c1cccc2cc(C(=N)N)ccc12	CCCc1c(CC)c(C#N)cn1-c1cccc2cc(C(=N)N)ccc12
1453	O=C(O)CC(=O)c1nc(C(=O)O)c(Nc2c(O)cccc2C(=O)O)nc1O	O=C(O)CC(=O)c1nc(C(=O)O)c(Nc2c(O)cccc2C(=O)O)nc1O
1454	CCc1c(O)c(CC(=O)O)cc(O)c1CCc1ccccc1	CCc1c(O)c(CC(=O)O)cc(O)c1CCc1ccccc1
1456	CCCCS(=O)(=O)Oc1cccc2c(C(=O)O)c(O)c(CC)cc12	CCCCS(=O)(=O)Oc1cccc2c(C(=O)O)c(O)c(CC)cc12
1460	Cc1cc(O)cc(OCc2ccc(S(=O)(=O)O)cc2)c1F	Cc1cc(O)cc(OCc2ccc(S(=O)(=O)O)cc2)c1F
1466	CCc1nc(-c2nc(N)[nH]c2-c2csc(C(=O)O)c2)c(O)n1CS(=O)(=O)O	CCc1nc(-c2nc(N)[nH]c2-c2csc(C(=O)O)c2)c(O)n1CS(=O)(=O)O
1468	Oc1cc2c(c(O)cc3ccccc32)c(O)n1	Oc1cc2c(c(O)cc3ccccc32)c(O)n1
1471	CCOC(CCN)=C(C(C)=O)c1c(C)cc2c(OCC)c(C(=O)OC(=O)NC(C)=O)ncc2c1O	CCOC(CCN)=C(C(C)=O)c1c(C)cc2c(OCC)c(C(=O)OC(=O)NC(C)=O)ncc2c1O
1475	CCc1ccc2c(OC)c(C(C)(C)c3cccc(C(=O)O)c3)[nH]c2c1	CCc1ccc2c(OC)c(C(C)(C)c3cccc(C(=O)O)c3)[nH]c2c1
1478	COc1cc2c([nH]c3c(C(=O)O)ccc(O)c32)c2c1[nH]c1c(I)ccc(OC)c12	COc1cc2c([nH]c3c(C(=O)O)ccc(O)c32)c2c1[nH]c1c(I)ccc(OC)c12
1479	COc1cc(CCC(=O)NC(C)=O)c(Oc2ccccc2)c2ccccc12	COc1cc(CCC(=O)NC(C)=O)c(Oc2ccccc2)c2ccccc12
1480	CC(=O)OC(=O)c1cccc2c(O)ccc(O)c12	CC(=O)OC(=O)c1cccc2c(O)ccc(O)c12
1483	CC(=O)Oc1ccccc1Oc1c(O)ccc2nc(O)c3c(Cl)nccc3c12	CC(=O)Oc1ccccc1Oc1c(O)ccc2nc(O)c3c(Cl)nccc3c12
1485	CCC(C(=O)O)=C1C=CC(c2cccc(CNC(=O)c3cccc(O)c3OC)c2)=CC1	CCC(C(=O)O)=C1C=CC(c2cccc(CNC(=O)c3cccc(O)c3OC)c2)=CC1
1487	COC(=Cc1ccccc1)N=C(O)c1ccc2oc(C)c(-c3cccc(OC)c3)c2c1	COC(=Cc1ccccc1)N=C(O)c1ccc2oc(C)c(-c3cccc(OC)c3)c2c1
1489	CCCCCCOC(=O)CCc1ccc2cccc(OC)c2c1	CCCCCCOC(=O)CCc1ccc2cccc(OC)c2c1
1492	O=CCC(=O)NC(=O)COc1c(O)cccc1CO	O=CCC(=O)NC(=O)COc1c(O)cccc1CO
1494	CC(=O)Cc1ccc(C(=O)O)c(OCCn2cccc2)c1	CC(=O)Cc1ccc(C(=O)O)c(OCCn2cccc2)c1
1497	Cc1cc(O)c(C(=O)O)c(-c2coc(C(=O)O)c2)c1C1CCCCC1	Cc1cc(O)c(C(=O)O)c(-c2coc(C(=O)O)c2)c1C1CCCCC1
1499	Cc1cccc(Br)c1C(=O)OC(=O)CCc1ccccc1	Cc1cccc(Br)c1C(=O)OC(=O)CCc1ccccc1
1502	CCOC(=O)c1c(O)cc(O)c2c(NCC(=O)NC(O)=NO)cccc12	CCOC(=O)c1c(O)cc(O)c2c(NCC(=O)NC(O)=NO)cccc12
1503	O=C(O)c1c(O)nc2c(cc(O)c3ccc(O)cc32)c1S(=O)(=O)c1ccnc2cccc(Cl)c12	O=C(O)c1c(O)nc2c(cc(O)c3ccc(O)cc32)c1S(=O)(=O)c1ccnc2cccc(Cl)c12
1504	CCCc1cc(CN(C(C)=O)C(=O)CCOC(=O)c2ccc(OC)cc2)c[nH]1	CCCc1cc(CN(C(C)=O)C(=O)CCOC(=O)c2ccc(OC)cc2)c[nH]1
1505	O=C(Cc1c(O)ccc2ccccc12)Nc1ccccc1	O=C(Cc1c(O)ccc2ccccc12)Nc1ccccc1
1507	O=C(O)CCC(=O)OCCc1cc2c(c3cc(C(=O)O)[nH]c13)CC=CC2	O=C(O)CCC(=O)OCCc1cc2c(c3cc(C(=O)O)[nH]c13)CC=CC2
1511	COC(=O)c1cc(-c2ccoc2)cc(-c2cccc(C)c2O)c1	COC(=O)c1cc(-c2ccoc2)cc(-c2cccc(C)c2O)c1
1521	Cc1c(O)c(C(=O)O)cc(Cl)c1-c1cc(C(=O)O)c[nH]1	Cc1c(O)c(C(=O)O)cc(Cl)c1-c1cc(C(=O)O)c[nH]1
1522	Cc1nc2c(OC(=O)CC(=O)O)c(C)ccc2[nH]1	Cc1nc2c(OC(=O)CC(=O)O)c(C)ccc2[nH]1
1529	O=C(O)c1cnc(Cc2cc(O)c3ccccc3c2O)s1	O=C(O)c1cnc(Cc2cc(O)c3ccccc3c2O)s1
1530	Cc1cccc(-c2cccc3c2cc(C(=O)O)n3-c2ncc(C3=NCc4[nH]c(O)cc4C3)[nH]2)c1	Cc1cccc(-c2cccc3c2cc(C(=O)O)n3-c2ncc(C3=NCc4[nH]c(O)cc4C3)[nH]2)c1
1532	COc1cc2[nH]ccc2c(Cl)c1CCc1ccccc1	COc1cc2[nH]ccc2c(Cl)c1CCc1ccccc1
1533	COc1cc(Cl)c2c(OC)c(CCCOc3ccc4cc(C)ccc4c3)nc(N)c2c1	COc1cc(Cl)c2c(OC)c(CCCOc3ccc4cc(C)ccc4c3)nc(N)c2c1
1535	CCc1c(C(=O)c2c(O)ccc(OC)c2F)c(C(=O)O)cc2c(CC(=O)O)cc3sccc3c12	CCc1c(C(=O)c2c(O)ccc(OC)c2F)c(C(=O)O)cc2c(CC(=O)O)cc3sccc3c12
1536	COC(=O)c1ccc2cc(-c3cc(C)cc(Cl)c3)c(-c3ccc(O)cc3)nc2c1	COC(=O)c1ccc2cc(-c3cc(C)cc(Cl)c3)c(-c3ccc(O)cc3)nc2c1
1540	CC1=C(C(=O)O)C(=O)c2ccc(C(=O)Oc3ccccc3C(=O)O)c(CC(=O)O)c2C1=O	CC1=C(C(=O)O)C(=O)c2ccc(C(=O)Oc3ccccc3C(=O)O)c(CC(=O)O)c2C1=O
1542	CCc1cc2c(cc(C(=O)O)c3cc(C(=O)O)cnc32)c2c(C(=O)O)c(Cl)c(C(=O)O)cc12	CCc1cc2c(cc(C(=O)O)c3cc(C(=O)O)cnc32)c2c(C(=O)O)c(Cl)c(C(=O)O)cc12
1543	C=C(Cl)c1cc(C(=O)O)cc2c(O)c3n(c12)-c1c(cc(CC)c(O)c1O)C3	C=C(Cl)c1cc(C(=O)O)cc2c(O)c3n(c12)-c1c(cc(CC)c(O)c1O)C3
1544	COCc1cc(-c2c(F)cc(OC)c3c(O)c(C(=O)O)ccc23)ccc1OC	COCc1cc(-c2c(F)cc(OC)c3c(O)c(C(=O)O)ccc23)ccc1OC
1545	O=C(O)CC(=O)CCn1ccc2cccc(CC(=O)O)c21	O=C(O)CC(=O)CCn1ccc2cccc(CC(=O)O)c21
1548	O=CCc1cc2oc(Br)cc2c2c(CC(=O)c3ccccc3)cccc12	O=CCc1cc2oc(Br)cc2c2c(CC(=O)c3ccccc3)cccc12
1549	NC(=O)C(=O)Nc1cc(C(=O)O)c(O)cc1O	NC(=O)C(=O)Nc1cc(C(=O)O)c(O)cc1O
1550	COc1cc(F)cc(-c2ccc(S(=O)(=O)NCC(=O)O)c(OCCCC(=O)O)c2)c1	COc1cc(F)cc(-c2ccc(S(=O)(=O)NCC(=O)O)c(OCCCC(=O)O)c2)c1
1551	C=C(Cl)c1ccc2c(ccc3ccccc32)c1CN	C=C(Cl)c1ccc2c(ccc3ccccc32)c1CN
1552	CCOc1c(C(=O)O)c(O)c(-c2cc3c(Cl)c(CCC(=O)O)ccc3[nH]2)c2ccccc12	CCOc1c(C(=O)O)c(O)c(-c2cc3c(Cl)c(CCC(=O)O)ccc3[nH]2)c2ccccc12
1553	NC(=O)OC(=O)c1ccsc1C(=O)OC(=O)c1cccc2cc(F)c(Cl)cc12	NC(=O)OC(=O)c1ccsc1C(=O)OC(=O)c1cccc2cc(F)c(Cl)cc12
1554	COc1ccc2cc3cccc(Cl)c3c(NC(C)=O)c2c1CCC(=O)O	COc1ccc2cc3cccc(Cl)c3c(NC(C)=O)c2c1CCC(=O)O
1560	Cc1ccc(Cc2cc(O)cc3cccc(O)c23)c(C(=O)O)c1	Cc1ccc(Cc2cc(O)cc3cccc(O)c23)c(C(=O)O)c1
1561	Cc1c(Nc2nc(O)c(C(O)=NCCc3cccc(O)c3)s2)n[nH]c1O	Cc1c(Nc2nc(O)c(C(O)=NCCc3cccc(O)c3)s2)n[nH]c1O
1570	COC(=C(O)c1cccc(CCC(=O)O)c1)c1ccoc1	COC(=C(O)c1cccc(CCC(=O)O)c1)c1ccoc1
1572	O=C(O)COc1c(O)cccc1Cc1cc2c(C(=O)CC(=O)O)cccc2cc1O	O=C(O)COc1c(O)cccc1Cc1cc2c(C(=O)CC(=O)O)cccc2cc1O
1576	CC(=O)OCc1c[nH]c(C(=O)O)c1-c1cc2ccc(C(=O)O)c(O)c2[nH]1	CC(=O)OCc1c[nH]c(C(=O)O)c1-c1cc2ccc(C(=O)O)c(O)c2[nH]1
1580	NC(=O)c1ccccc1C(=CO)c1ccc(Cl)cc1	NC(=O)c1ccccc1C(=CO)c1ccc(Cl)cc1
1581	COC1=C(OC2CCCCC2)Cc2c(CNC(=O)OC(=O)NCC=O)cccc2C1	COC1=C(OC2CCCCC2)Cc2c(CNC(=O)OC(=O)NCC=O)cccc2C1
1582	CCCOC(=O)CCc1cc(O)c(Cl)c(Cc2nc(O)c(C(=O)O)[nH]2)c1	CCCOC(=O)CCc1cc(O)c(Cl)c(Cc2nc(O)c(C(=O)O)[nH]2)c1
1586	O=C(O)C(=O)Nc1cc(C(=O)O)cc2ccccc12	O=C(O)C(=O)Nc1cc(C(=O)O)cc2ccccc12
1587	COc1cc(C(=O)O)c2c(O)cc3c(-c4ccc5[nH]cc(CO)c5c4)c(C(=O)O)ccc3c2c1	COc1cc(C(=O)O)c2c(O)cc3c(-c4ccc5[nH]cc(CO)c5c4)c(C(=O)O)ccc3c2c1
1589	O=C(NCCCCc1c(Br)cc(O)c(Cl)c1F)OC(=O)Nc1cccc(O)c1	O=C(NCCCCc1c(Br)cc(O)c(Cl)c1F)OC(=O)Nc1cccc(O)c1
1593	CCCC(=O)Oc1ccc(O)cc1COC(=O)CN	CCCC(=O)Oc1ccc(O)cc1COC(=O)CN
1594	CC(=CCc1ccc(CC(=O)O)cc1C(=O)O)Cc1ccccc1	CC(=CCc1ccc(CC(=O)O)cc1C(=O)O)Cc1ccccc1
1598	O=C(O)c1ccc2c(CO)n(-c3ccccc3COC(=O)c3ccsc3Cl)c(O)c2c1	O=C(O)c1ccc2c(CO)n(-c3ccccc3COC(=O)c3ccsc3Cl)c(O)c2c1
1601	O=C(CO)OC(=O)NC(=O)c1ccc(-c2coc3c(O)cccc23)c2cc(C(=O)O)ccc12	O=C(CO)OC(=O)NC(=O)c1ccc(-c2coc3c(O)cccc23)c2cc(C(=O)O)ccc12
1602	COc1ccc(O)c2cc(C(=O)NS(=O)(=O)c3ccc(OCC(=O)O)cc3)cc(C(=O)O)c12	COc1ccc(O)c2cc(C(=O)NS(=O)(=O)c3ccc(OCC(=O)O)cc3)cc(C(=O)O)c12
