SMILES (prior)	SMILES (after) round trip:
1277	CCC(=O)Oc1ccc(OC)c2c1=C(O)C1=C(C)Cc3c(C)cc(C)cc3[C@@H]1N=2	CCC(=O)Oc1ccc(OC)c2c1=C(O)C1=C(C)Cc3c(C)cc(C)cc3C1N=2
1278	COCc1cc(Cl)c(CCC(=O)OC)c([C@H](O)c2cn[nH]c2)c1	COCc1cc(Cl)c(CCC(=O)OC)c(C(O)c2cn[nH]c2)c1
1279	COc1ccc2c(CN3[C@@H](C)CC[C@H]3CCC(=O)O)ccc(C)c2c1	COc1ccc2c(CN3C(C)CCC3CCC(=O)O)ccc(C)c2c1
1280	C[C@H](c1ccc(O)c(-c2ccccc2Cl)c1)[C@H](C)CC(=O)O	CC(CC(=O)O)C(C)c1ccc(O)c(-c2ccccc2Cl)c1
1284	COc1c(C(=O)O)c(O)cc(O)c1C(=O)c1cc2cc[nH]c2cc1[C@@H](O)C(=O)O	COc1c(C(=O)O)c(O)cc(O)c1C(=O)c1cc2cc[nH]c2cc1C(O)C(=O)O
1285	O=C(O)CCC[C@H](/C=C\N=C\O)c1cccc(CC(=O)O)c1	O=C(O)CCCC(C=CN=CO)c1cccc(CC(=O)O)c1
1287	O=C(O)c1ccc2cc(O)c(O)c3c2c1-c1c(O)ccc(O)c1[C@H]3CO	O=C(O)c1ccc2cc(O)c(O)c3c2c1-c1c(O)ccc(O)c1C3CO
1288	COc1ccc2c(O)ccc(C(=O)O)c2c1OCc1ccc2ccc([C@@H](C)NO)cc2c1	COc1ccc2c(O)ccc(C(=O)O)c2c1OCc1ccc2ccc(C(C)NO)cc2c1
1290	Cc1cccc(C[C@@H](O)c2cc(C(=O)O)cc(C(=O)OC(=O)CC=O)c2)c1	Cc1cccc(CC(O)c2cc(C(=O)O)cc(C(=O)OC(=O)CC=O)c2)c1
1291	O=C(O)C[C@@H](O)[C@H](CCCCc1cccc(C(=O)O)c1)c1ccnc(O)n1	O=C(O)CC(O)C(CCCCc1cccc(C(=O)O)c1)c1ccnc(O)n1
1295	C=C(C=O)Cc1cc(C(=O)c2occ([C@@H](C)O)c2CC)cc2c1ccc1cc(C)c(C)cc12	C=C(C=O)Cc1cc(C(=O)c2occ(C(C)O)c2CC)cc2c1ccc1cc(C)c(C)cc12
1298	CCOC(=O)c1ccc([C@H](CO)C(=O)O)c2[nH]c(C)cc12	CCOC(=O)c1ccc(C(CO)C(=O)O)c2[nH]c(C)cc12
1299	CC[C@@H](O)[C@](CC)(c1ccccc1C)c1c2c(cc3[nH]nc(C)c13)[C@H](O)C=C[C@H]2O	CCC(O)C(CC)(c1ccccc1C)c1c2c(cc3[nH]nc(C)c13)C(O)C=CC2O
1300	COc1ccccc1-c1c([C@@H](O)CCC(=O)O)c([C@@H](C)O)c(OC)c2c1c(O)nc1ncccc12	COc1ccccc1-c1c(C(O)CCC(=O)O)c(C(C)O)c(OC)c2c1c(O)nc1ncccc12
1301	COC/C=C/C[C@@H](NC1=CC(=O)C(CC(=O)C(=O)O)=CC1=O)c1cc(C(=O)O)ccc1O	COCC=CCC(NC1=CC(=O)C(CC(=O)C(=O)O)=CC1=O)c1cc(C(=O)O)ccc1O
1303	CC(=C/C=C/c1ccccc1)c1ccccc1O	CC(=CC=Cc1ccccc1)c1ccccc1O
1306	COc1c(C(=O)N(C(=O)C[C@@H](O)C(=O)O)C(=O)OC(=O)c2ccc(Cl)[nH]2)ccc2c(C)cccc12	COc1c(C(=O)N(C(=O)CC(O)C(=O)O)C(=O)OC(=O)c2ccc(Cl)[nH]2)ccc2c(C)cccc12
1307	CCc1c(OCCCc2ccc(C(=O)O)cc2C(=O)O)cccc1[C@@H](O)C1=CCC=C[C@@H]1OC	CCc1c(OCCCc2ccc(C(=O)O)cc2C(=O)O)cccc1C(O)C1=CCC=CC1OC
1309	COc1ccc(F)c(O[C@@H]2C=CC(=O)c3ccc(NC(=O)OC(=O)CC(=O)O)cc32)c1	COc1ccc(F)c(OC2C=CC(=O)c3ccc(NC(=O)OC(=O)CC(=O)O)cc32)c1
1310	Clc1ccc(Oc2cccc3c2CC=C[C@H]3n2cccc2)cc1	Clc1ccc(Oc2cccc3c2CC=CC3n2cccc2)cc1
1312	C=CCc1c(CN(C(=O)OC)c2c(C)cc(C)cc2C(=O)O)cc([C@H](O)CC)cc1-c1ccco1	C=CCc1c(CN(C(=O)OC)c2c(C)cc(C)cc2C(=O)O)cc(C(O)CC)cc1-c1ccco1
1313	O=CCCCC(=O)NN=C(/C=C/C=C/C(=O)O)C(=O)O	O=CCCCC(=O)NN=C(C=CC=CC(=O)O)C(=O)O
1314	C=C(N)/N=C\c1cc(C(N)=O)cc2c1[C@@H]1C=Cc3ccoc3C1=C(OC)[C@@H]2F	C=C(N)N=Cc1cc(C(N)=O)cc2c1C1C=Cc3ccoc3C1=C(OC)C2F
1319	O=C(O)CC(=O)c1cccc2c1[C@@H](O)C=CC2	O=C(O)CC(=O)c1cccc2c1C(O)C=CC2
1323	O=C(O)c1nc(O)c(C(=O)Cc2ccc3c(O)c4ccccc4cc3c2)c2c1[C@H](O)C=C[C@H]2O	O=C(O)c1nc(O)c(C(=O)Cc2ccc3c(O)c4ccccc4cc3c2)c2c1C(O)C=CC2O
1328	CCC[C@H](O)[C@@H](OC)c1ccc(N)nc1-c1cccc2ccc(Cl)cc12	CCCC(O)C(OC)c1ccc(N)nc1-c1cccc2ccc(Cl)cc12
1329	C=Cc1c(CO)cc(/C(=C\[C@@H](/C=C\CNC(C)=O)c2cccc(C(=O)O)c2)C(=O)O)cc1OC	C=Cc1c(CO)cc(C(=CC(C=CCNC(C)=O)c2cccc(C(=O)O)c2)C(=O)O)cc1OC
1330	CCCCc1cc(C)c2cc(C(=O)CC(=O)O)sc2c1OC(=O)CC[C@H](C)C(=O)O	CCCCc1cc(C)c2cc(C(=O)CC(=O)O)sc2c1OC(=O)CCC(C)C(=O)O
1332	CC1=NO[C@@H]2C1=C[C@H](O)c1c2cc2c(c1O)[C@H](O)C=C(O)[C@@H]2O	CC1=NOC2C1=CC(O)c1c2cc2c(c1O)C(O)C=C(O)C2O
1333	N#CCc1c2ccccc2nc2c(C(=O)O)c(C(=O)NC[P@@H](=O)O)c(C(=O)O)cc12	N#CCc1c2ccccc2nc2c(C(=O)O)c(C(=O)NC[PH](=O)O)c(C(=O)O)cc12
1335	C=C/C(=C\c1ccc2oc(C=O)c(C)c2c1)C(=O)O	C=CC(=Cc1ccc2oc(C=O)c(C)c2c1)C(=O)O
1336	N[C@@H](C(=O)O)C(=O)OC(=O)N[C@@H](CCC(=O)OC(=O)c1ccc2cc(O)ccc2c1)C(=O)O	NC(C(=O)O)C(=O)OC(=O)NC(CCC(=O)OC(=O)c1ccc2cc(O)ccc2c1)C(=O)O
1338	CCc1cc(C2=C[C@@H](c3c(O)cccc3CC)CC=C2)ccc1CN	CCc1cc(C2=CC(c3c(O)cccc3CC)CC=C2)ccc1CN
1340	CCc1occ(C2=N[C@@H]3C=CCc4cc5c(c(c43)[C@H]2CC)[C@H](C)C=CC5)c1O	CCc1occ(C2=NC3C=CCc4cc5c(c(c43)C2CC)C(C)C=CC5)c1O
1341	CCCCCCCOc1ccc(CCO)c2c1cc(OC)c1c(C(=O)[C@@H](O)C(=O)O)c(C)[nH]c12	CCCCCCCOc1ccc(CCO)c2c1cc(OC)c1c(C(=O)C(O)C(=O)O)c(C)[nH]c12
1343	COc1cc(C(=O)NC(=O)[C@H](NC(=O)[C@@H](N)C(=O)NO)[C@@H](N)C(F)(F)F)cc(-c2ccc(OC)[nH]2)c1	COc1cc(C(=O)NC(=O)C(NC(=O)C(N)C(=O)NO)C(N)C(F)(F)F)cc(-c2ccc(OC)[nH]2)c1
1344	CCCO[C@H](CCC)c1coc(COC(=O)Nc2ccc3ccccc3c2)c1	CCCOC(CCC)c1coc(COC(=O)Nc2ccc3ccccc3c2)c1
1345	CC=C(C)[C@H](Oc1cccc(O)c1)c1ccc(C)cc1CC(C(=O)OCC)=C1CCC=C[C@@H]1O	CC=C(C)C(Oc1cccc(O)c1)c1ccc(C)cc1CC(C(=O)OCC)=C1CCC=CC1O
1347	CCOC(=O)C[C@@H](O)C(=O)c1cccc2cc3[nH]cc(-c4cnc(C[C@H](CC)C(=O)O)[nH]4)c3c(O)c12	CCOC(=O)CC(O)C(=O)c1cccc2cc3[nH]cc(-c4cnc(CC(CC)C(=O)O)[nH]4)c3c(O)c12
1349	Cc1cc(C(=O)O)cc2cc3c(O)c(C[C@@H](O)C(=O)O)sc3cc12	Cc1cc(C(=O)O)cc2cc3c(O)c(CC(O)C(=O)O)sc3cc12
1350	C=C/C=C(/CO/N=C1\CC=CC=C1C(=O)O)c1cccc2cc(O)ccc12	C=CC=C(CON=C1CC=CC=C1C(=O)O)c1cccc2cc(O)ccc12
1352	O=C(O)CCCc1ccc2c([C@@H](C(=O)O)C(=O)NC(=O)CC(=O)O)coc2c1	O=C(O)CCCc1ccc2c(C(C(=O)O)C(=O)NC(=O)CC(=O)O)coc2c1
1353	NC(=O)c1cccc(C2=CCc3c(c(O)c4cc([C@H](N)C(=O)O)ccc4c3O)C2)c1	NC(=O)c1cccc(C2=CCc3c(c(O)c4cc(C(N)C(=O)O)ccc4c3O)C2)c1
1356	CCC[C@H]1C=CCc2c(C(=O)O)ccc([C@@H]3CC=CC=C3O)c21	CCCC1C=CCc2c(C(=O)O)ccc(C3CC=CC=C3O)c21
1357	Cc1ccc(O)c2cc3c(c(F)c12)CC=C1C=CCC[C@@H]13	Cc1ccc(O)c2cc3c(c(F)c12)CC=C1C=CCCC13
1358	CO/C=C1/C=C(c2cc(O)c3cc(O)c(O)cc3c2CNC(=O)OC(=O)NO)C(Cl)=CC1	COC=C1C=C(c2cc(O)c3cc(O)c(O)cc3c2CNC(=O)OC(=O)NO)C(Cl)=CC1
1359	CS(=O)(=O)NC[C@H](O)c1c(O)cc2c3c(cc4ccoc4c13)C=C[C@@H]2c1c[nH]c(O)c1C(=O)O	CS(=O)(=O)NCC(O)c1c(O)cc2c3c(cc4ccoc4c13)C=CC2c1c[nH]c(O)c1C(=O)O
1360	COC(=O)CC(=O)/C=C/C=C\c1ccc(O)c2c1[C@@H]1C(=C(OC)C2)C=C[C@H](O)[C@H]1O	COC(=O)CC(=O)C=CC=Cc1ccc(O)c2c1C1C(=C(OC)C2)C=CC(O)C1O
1364	CCCOc1cc(C(=O)O)c(O)c2c1[C@@H]1CC(C)=CCC1=CC2=O	CCCOc1cc(C(=O)O)c(O)c2c1C1CC(C)=CCC1=CC2=O
1365	CC[C@H](O)C1=CCc2c(cc3c(c2C(=O)O)[C@@H](O)C=C[C@@H]3O)[C@H]1C	CCC(O)C1=CCc2c(cc3c(c2C(=O)O)C(O)C=CC3O)C1C
1366	COCc1c(/C=C\CC(C)(C)OC)ccc(O)c1C(=O)Cn1c(O)cc2[nH]c(C)cc21	COCc1c(C=CCC(C)(C)OC)ccc(O)c1C(=O)Cn1c(O)cc2[nH]c(C)cc21
1368	O=CCC(/C=C/C(=O)O)=C(O)[C@H](c1ccc(O)[nH]1)S(=O)(=O)NCC(=O)O	O=CCC(C=CC(=O)O)=C(O)C(c1ccc(O)[nH]1)S(=O)(=O)NCC(=O)O
1370	C=C/C=C/Cc1ccc2cccnc2c1-c1nc(O)[nH]c1CC/C=C\CC#N	C=CC=CCc1ccc2cccnc2c1-c1nc(O)[nH]c1CCC=CCC#N
1372	N#C[C@@H](C(=O)O)c1ccnc2cc(/C=C\C(=CC(=O)OCc3ccccc3)C(=O)O)nc(O)c12	N#CC(C(=O)O)c1ccnc2cc(C=CC(=CC(=O)OCc3ccccc3)C(=O)O)nc(O)c12
1374	CCc1c(F)cc(CC(O)=CC(=O)N[C@H](C(=O)O)C(C(=O)O)C(=O)O)cc1CC(=O)O	CCc1c(F)cc(CC(O)=CC(=O)NC(C(=O)O)C(C(=O)O)C(=O)O)cc1CC(=O)O
1375	CN/C=C1/C(=O)C=C(CC(O)=CC(=O)N[C@H]2C=CCc3c2cc2c4c(ccnc34)C=CC2)C(=O)C1=O	CNC=C1C(=O)C=C(CC(O)=CC(=O)NC2C=CCc3c2cc2c4c(ccnc34)C=CC2)C(=O)C1=O
1376	CCC[C@H](CC)[C@](CCCC(=O)O)(CC1CCCCC1)c1oc(C)cc1C	CCCC(CC)C(CCCC(=O)O)(CC1CCCCC1)c1oc(C)cc1C
1378	CCCCC/C=C/[C@](COCC)(c1ccccc1)c1c[nH]c(CN)c1	CCCCCC=CC(COCC)(c1ccccc1)c1c[nH]c(CN)c1
1379	CCc1cc(OC)cc2c(OC)cc(O[C@H]3[C@@H](C(=O)O)CCC[C@@H]3CO)c(C(=O)O)c12	CCc1cc(OC)cc2c(OC)cc(OC3C(CO)CCCC3C(=O)O)c(C(=O)O)c12
1380	CO[C@@H]1C=CCC2=CCc3c(O)c(-c4ccccc4)c4ccccc4c3[C@H]21	COC1C=CCC2=CCc3c(O)c(-c4ccccc4)c4ccccc4c3C21
1382	C/C=C(/C(=O)Oc1ccccc1)c1cccc2c1[C@@H]1NC=CC1=CC2	CC=C(C(=O)Oc1ccccc1)c1cccc2c1C1NC=CC1=CC2
1384	CC(=O)O[C@H]1C=CC[C@@H](c2ccc(O)c([C@@H](C(=O)O)C(=O)C=O)c2CCO)C1	CC(=O)OC1C=CCC(c2ccc(O)c(C(C(=O)O)C(=O)C=O)c2CCO)C1
1390	O=C(O)C/N=C(/O)OCCCC(=O)OC(=O)Nc1cc(O)ccc1F	O=C(O)CN=C(O)OCCCC(=O)OC(=O)Nc1cc(O)ccc1F
1391	Cc1cc2c(O)cn(CC(=CBr)C[C@@](O)(CCC(=O)O)c3cccc(C(=O)O)c3)c2cc1C(=O)O	Cc1cc2c(O)cn(CC(=CBr)CC(O)(CCC(=O)O)c3cccc(C(=O)O)c3)c2cc1C(=O)O
1394	CCc1cncc(Oc2cccc3c2CC=C[C@@H]3C)c1C(C(=O)O)C(=O)O	CCc1cncc(Oc2cccc3c2CC=CC3C)c1C(C(=O)O)C(=O)O
1398	O=C(O)c1ccc(O)c2c1CC=C[C@@H]2[C@@H](O)c1cccc2cc(O)ccc12	O=C(O)c1ccc(O)c2c1CC=CC2C(O)c1cccc2cc(O)ccc12
1399	CCCCOc1c(C(=O)O)cc([C@H](Cl)c2cccnc2)c(C)c1O	CCCCOc1c(C(=O)O)cc(C(Cl)c2cccnc2)c(C)c1O
1403	COC1=CC2=C[C@H]([C@H]3C=CC=CC3)c3c(Cc4cccc(O)c4O)c4c(c(O)c3[C@H]2C=C1)CC=CC4	COC1=CC2=CC(C3C=CC=CC3)c3c(Cc4cccc(O)c4O)c4c(c(O)c3C2C=C1)CC=CC4
1405	CCC(C)(C)c1c(CC(=O)O)c([C@H]2C=C(C)SC2)c2c(c1OC)[C@H](C(=O)O)C=C[C@H]2CO	CCC(C)(C)c1c(CC(=O)O)c(C2C=C(C)SC2)c2c(c1OC)C(C(=O)O)C=CC2CO
1407	O=C(O)Cc1c(O)c2c(c3c1[C@@H](O)C=CC3=O)[C@@H](C(=O)O)C=C(C(=O)O)C2=O	O=C(O)Cc1c(O)c2c(c3c1C(O)C=CC3=O)C(C(=O)O)C=C(C(=O)O)C2=O
1408	COc1c(C(=O)c2c[nH]c3c2[C@H](OCC(=O)O)c2c(C)csc2C3)[nH]c2c(C(=O)O)cccc12	COc1c(C(=O)c2c[nH]c3c2C(OCC(=O)O)c2c(C)csc2C3)[nH]c2c(C(=O)O)cccc12
1411	N[C@H](O)c1c(CC(=O)OC(=O)c2ccc[nH]2)cc2c(c1O)CC=CC2	NC(O)c1c(CC(=O)OC(=O)c2ccc[nH]2)cc2c(c1O)CC=CC2
1412	C[C@@H](Oc1ccc(C(=O)O)cc1)c1occ2c1[C@@H](O)C=CC2	CC(Oc1ccc(C(=O)O)cc1)c1occ2c1C(O)C=CC2
1413	CC=C(C(=O)NCC(=O)O)C(=O)OC(=O)Cc1c(O)cccc1[C@@H](O)/C=C\CC	CC=C(C(=O)NCC(=O)O)C(=O)OC(=O)Cc1c(O)cccc1C(O)C=CCC
1414	CCN=C(Cc1ccccc1O)/C(F)=C\c1cccc(CC)c1	CCN=C(Cc1ccccc1O)C(F)=Cc1cccc(CC)c1
1415	CCCCCC(=O)Oc1cccc([C@H](O)C(Cc2coc3ccc4c(c23)CC=CC4)=C(C)C)c1O	CCCCCC(=O)Oc1cccc(C(O)C(Cc2coc3ccc4c(c23)CC=CC4)=C(C)C)c1O
1416	CCc1cccc2c1CC=C1C=C(C)C[C@H](O)[C@@H]12	CCc1cccc2c1CC=C1C=C(C)CC(O)C12
1417	CCCCc1c([C@H](F)c2cc(OC)ccc2CO)cc(O)nc1O	CCCCc1c(C(F)c2cc(OC)ccc2CO)cc(O)nc1O
1418	COc1ccc(Cc2[nH]c(O)c3[nH]c(C[C@H](C(=O)O)c4ccc(O)[nH]4)c(O)c23)cc1OC	COc1ccc(Cc2[nH]c(O)c3[nH]c(CC(C(=O)O)c4ccc(O)[nH]4)c(O)c23)cc1OC
1420	CNCC[C@H]1C(O)=C[C@H](CC(=O)O)c2c(CC(=O)O)cc(NC(=O)CCCO)c(C)c21	CNCCC1C(O)=CC(CC(=O)O)c2c(CC(=O)O)cc(NC(=O)CCCO)c(C)c21
1421	COc1ccc([C@H](O)CNC(=O)C=C(CC(=O)O)CC(=O)O)cc1	COc1ccc(C(O)CNC(=O)C=C(CC(=O)O)CC(=O)O)cc1
1422	O=C(O)C/C=C\Cc1cccc2ccc(Cc3cc[nH]c3)cc12	O=C(O)CC=CCc1cccc2ccc(Cc3cc[nH]c3)cc12
1423	CC(=O)Cc1cc[nH]c1-c1cc(-c2ccc(COc3ccccc3)cc2/C=C(\C=O)C(=O)O)[nH]c1O	CC(=O)Cc1cc[nH]c1-c1cc(-c2ccc(COc3ccccc3)cc2C=C(C=O)C(=O)O)[nH]c1O
1424	C=CC=C(C)[C@@H]1C=CCc2c(COC(C)=O)ccc(C(=O)OCC)c21	C=CC=C(C)C1C=CCc2c(COC(C)=O)ccc(C(=O)OCC)c21
1427	CC[C@H](N)CS(=O)(=O)NC(=O)NC(=O)c1c(O)ccc2c(Cl)cc(O)cc12	CCC(N)CS(=O)(=O)NC(=O)NC(=O)c1c(O)ccc2c(Cl)cc(O)cc12
1431	CO[C@H]1C=C[C@@H](C(F)(F)CCCO)c2c(C(=O)C[C@H](NC(=O)C(=O)O)C(=O)O)c(O)nc(O)c21	COC1C=CC(C(F)(F)CCCO)c2c(C(=O)CC(NC(=O)C(=O)O)C(=O)O)c(O)nc(O)c21
1432	CCCOC(=O)OC(=O)[C@](CCC(=O)O)(C(=O)CC(=O)O)C(O)=NOC(C)=O	CCCOC(=O)OC(=O)C(CCC(=O)O)(C(=O)CC(=O)O)C(O)=NOC(C)=O
1434	CCC(=O)OC(=O)c1cc([C@H](/C=C(\C)c2ccc(CCC(=O)O)cc2)OC)c(O)nc1O	CCC(=O)OC(=O)c1cc(C(C=C(C)c2ccc(CCC(=O)O)cc2)OC)c(O)nc1O
1435	COC1=C2CC[C@H](F)C[C@H]2c2c(O)cc(O)cc2C1	COC1=C2CCC(F)CC2c2c(O)cc(O)cc2C1
1436	CC[C@H](CCC#N)c1ccc(CCC(=O)O)cc1O	CCC(CCC#N)c1ccc(CCC(=O)O)cc1O
1437	C/C=C/[C@@H](Cc1ccc(C)c2ccc(C(F)(F)F)cc12)Oc1ccccc1	CC=CC(Cc1ccc(C)c2ccc(C(F)(F)F)cc12)Oc1ccccc1
1440	CCn1c(=O)c2c(=O)cc([C@@H](O)c3cc(C(=O)OC)c4cccc(C)c4c3)c(=O)c=2c1=O	CCn1c(=O)c2c(=O)cc(C(O)c3cc(C(=O)OC)c4cccc(C)c4c3)c(=O)c=2c1=O
1441	O=C(O)CC[C@@H]1C=C[C@@H](O)C2=C[C@@H](O)c3c(O)cc(NS(=O)(=O)O)c(O)c3[C@@H]21	O=C(O)CCC1C=CC(O)C2=CC(O)c3c(O)cc(NS(=O)(=O)O)c(O)c3C21
1442	Cc1cc(Cl)c(COC(=O)CC(=O)[C@@H](CCc2cccc3cc(O)cc(Cl)c23)C(=O)O)c(Cl)c1	Cc1cc(Cl)c(COC(=O)CC(=O)C(CCc2cccc3cc(O)cc(Cl)c23)C(=O)O)c(Cl)c1
1443	CC[C@H](/C=C\CCCCC(=O)O)Nc1cccc(C)c1COc1ccccc1	CCC(C=CCCCCC(=O)O)Nc1cccc(C)c1COc1ccccc1
1444	CC(C)Cc1cc(/C=C\C(=O)O)cc([C@H](C)O)c1[C@H](C)O	CC(C)Cc1cc(C=CC(=O)O)cc(C(C)O)c1C(C)O
1446	O=C(O)C=C(c1ccccc1)C(F)(F)C(=O)c1cccc(C=C(O)/C(Cl)=C/CCC(=O)O)c1	O=C(O)C=C(c1ccccc1)C(F)(F)C(=O)c1cccc(C=C(O)C(Cl)=CCCC(=O)O)c1
1447	C/C=C\SCC(=O)N(c1cccc(Cl)c1OCCCCC(=O)O)c1cccc2ccccc12	CC=CSCC(=O)N(c1cccc(Cl)c1OCCCCC(=O)O)c1cccc2ccccc12
1448	CCCCC(=O)c1c(O)cc2ccccc2c1C(=O)C[C@H](O)c1ccccc1C(=N)N	CCCCC(=O)c1c(O)cc2ccccc2c1C(=O)CC(O)c1ccccc1C(=N)N
1449	C=C(Cc1c2c(cc(O)c1NC(=O)CC(=O)O)[C@@H]1C=CC=CC1=CC2)C(=O)OCC	C=C(Cc1c2c(cc(O)c1NC(=O)CC(=O)O)C1C=CC=CC1=CC2)C(=O)OCC
1450	CCC/C=C/C=C\c1cccc(OC[C@H](O)CC)c1	CCCC=CC=Cc1cccc(OCC(O)CC)c1
1451	CCc1ccccc1[C@@H](O)/N=C1\CC(OC)=CC(F)=C1OC	CCc1ccccc1C(O)N=C1CC(OC)=CC(F)=C1OC
1452	CCc1c(C(C)C)ccc(-c2ccc(C)cc2)c1[C@@H](C)C(=O)O	CCc1c(C(C)C)ccc(-c2ccc(C)cc2)c1C(C)C(=O)O
1455	C/C=C\c1ccccc1/C=C(/O)c1cc(C(=O)O)cc(O)c1O	CC=Cc1ccccc1C=C(O)c1cc(C(=O)O)cc(O)c1O
1457	N[C@@H](C(=O)O)C(=O)NS(=O)(=O)c1cc2ccccc2cc1NCCc1ccc(C(=O)O)[nH]1	NC(C(=O)O)C(=O)NS(=O)(=O)c1cc2ccccc2cc1NCCc1ccc(C(=O)O)[nH]1
1458	O=C(O)C(=O)N[C@@H](C(=O)O)C(=O)Cc1cc(C(=O)O)c(O)c(C(=O)CS(=O)(=O)O)c1	O=C(O)C(=O)NC(C(=O)O)C(=O)Cc1cc(C(=O)O)c(O)c(C(=O)CS(=O)(=O)O)c1
1459	O=C(O)CC1=CC=CC2=C[C@H](O)c3ccccc3[C@@H]21	O=C(O)CC1=CC=CC2=CC(O)c3ccccc3C21
1461	CCc1c(/N=C2\CC(C)=C(OCC(C)C)C=C2F)ccc2c(C(=O)O)cccc12	CCc1c(N=C2CC(C)=C(OCC(C)C)C=C2F)ccc2c(C(=O)O)cccc12
1462	NC(=O)C1=CCc2cccc3c2[C@H]1C=C(c1ccc(C(=O)O)o1)C3	NC(=O)C1=CCc2cccc3c2C1C=C(c1ccc(C(=O)O)o1)C3
1463	C=C[C@@H](C(=O)O)c1cc2c(Cc3ccccc3)c3c(cc2cc1O)CC=CC3	C=CC(C(=O)O)c1cc2c(Cc3ccccc3)c3c(cc2cc1O)CC=CC3
1464	C/C=C\C1=CCc2c(COCCCCC)c(CC(=O)O)c(O)c(CNC(=O)CC(=O)O)c2[C@H]1O	CC=CC1=CCc2c(COCCCCC)c(CC(=O)O)c(O)c(CNC(=O)CC(=O)O)c2C1O
1465	CCOC(=O)[C@H](C)C(=O)OC(=O)c1ccc2c3c(ccc2c1)[C@@H]1C=CNC1=C[C@@H]3O	CCOC(=O)C(C)C(=O)OC(=O)c1ccc2c3c(ccc2c1)C1C=CNC1=CC3O
1467	O=C(O)c1ccc([C@H](O)CCc2ccccc2)cc1O	O=C(O)c1ccc(C(O)CCc2ccccc2)cc1O
1469	Cc1cc(Oc2cc(CC(=CCC(=O)O)C(=O)O)cc3c2CC=C[C@H]3O)ccc1CCC(=O)O	Cc1cc(Oc2cc(CC(=CCC(=O)O)C(=O)O)cc3c2CC=CC3O)ccc1CCC(=O)O
1470	COCCc1cc(N)c(Oc2ccccc2)cc1[C@H]1CC=C[C@H](O)C1	COCCc1cc(N)c(Oc2ccccc2)cc1C1CC=CC(O)C1
1472	O=C(O)/C=C/Oc1cc(C(=O)O)cc2cc(C(=O)O)ccc12	O=C(O)C=COc1cc(C(=O)O)cc2cc(C(=O)O)ccc12
1473	Cc1cc(O)cc(N/C=C/C(=O)NC(=O)[C@H](O)C(C)(C)C)c1	Cc1cc(O)cc(NC=CC(=O)NC(=O)C(O)C(C)(C)C)c1
1474	CC/C=C(/NC(=O)c1ccc2cc(O)nc(O)c2c1)OC	CCC=C(NC(=O)c1ccc2cc(O)nc(O)c2c1)OC
1476	CCC[C@H]1C=CC=C[C@H]1c1cc(Nc2c(C)cccc2F)c(O)nc1O	CCCC1C=CC=CC1c1cc(Nc2c(C)cccc2F)c(O)nc1O
1477	COCC(=O)[C@H](C(=O)NNC(C)=O)[n+]1c(N)sc([C@@H](C#N)C(=O)O)c1-c1cn(C)c(O)c1O	COCC(=O)C(C(=O)NNC(C)=O)[n+]1c(N)sc(C(C#N)C(=O)O)c1-c1cn(C)c(O)c1O
1481	C=C[C@H](O)c1c2c(cc3ccc(C4CCCCC4)cc13)C=C(C)C[C@@H]2OC	C=CC(O)c1c2c(cc3ccc(C4CCCCC4)cc13)C=C(C)CC2OC
1482	CCc1cccc2c1[C@@H](C)C=C[C@@H]2OC1=CCc2cccc3c(F)ccc1c23	CCc1cccc2c1C(C)C=CC2OC1=CCc2cccc3c(F)ccc1c23
1484	CNC(=O)NCC(=O)NC(=O)C(=C/C=C\c1ccccc1)CCC(=O)O	CNC(=O)NCC(=O)NC(=O)C(=CC=Cc1ccccc1)CCC(=O)O
1486	COc1c(O)cccc1/C=C1\[C@@H](O)C[C@@H](O)C[C@@H]1CC=O	COc1c(O)cccc1C=C1C(O)CC(O)CC1CC=O
1488	C=CN(C)c1cc(C)c2c(c1)C[C@@H]([C@H](O)[C@@H](O)CC(=O)O)CC2	C=CN(C)c1cc(C)c2c(c1)CC(C(O)C(O)CC(=O)O)CC2
1490	COc1cc(C[C@H](C(=O)O)c2cccc(C)c2)c(O)cc1-c1ccc(C)cc1	COc1cc(CC(C(=O)O)c2cccc(C)c2)c(O)cc1-c1ccc(C)cc1
1491	CCc1occ(/C=C(/C=C/c2ccc(C(=O)O)cc2)Cc2cscn2)c1COC	CCc1occ(C=C(C=Cc2ccc(C(=O)O)cc2)Cc2cscn2)c1COC
1493	O=C(O)/C=C/OC(=O)c1cc(O)c(C2=CC(=O)C(CC(=O)O)=C(O)C2=O)cc1O	O=C(O)C=COC(=O)c1cc(O)c(C2=CC(=O)C(CC(=O)O)=C(O)C2=O)cc1O
1495	CCOC(=O)Oc1ccc(CC(F)(F)c2c(C(=O)O)cccc2[C@@H](C)N/C=C/C(=O)O)c(CC)c1	CCOC(=O)Oc1ccc(CC(F)(F)c2c(C(=O)O)cccc2C(C)NC=CC(=O)O)c(CC)c1
1496	O=C(O)Cc1coc2cc(O/C=C(/C(=O)CCc3ccccc3)C(=O)NO)ccc12	O=C(O)Cc1coc2cc(OC=C(C(=O)CCc3ccccc3)C(=O)NO)ccc12
1498	C=C/C=C\c1cc(NCCC)c(C(=O)O)c(S(N)(=O)=O)c1	C=CC=Cc1cc(NCCC)c(C(=O)O)c(S(N)(=O)=O)c1
